cluster_id,anchor_building_id,anchor_building_name,anchor_building_address,anchor_property_type,member_count,total_buildings,total_sqft,total_thermal_load_mmbtu,total_cooling_load_tons,avg_distance_m,max_distance_m,epb_count,epb_percentage,total_penalty_exposure,property_type_diversity,opt_in_count,thermal_diversity_score,economic_potential_score
cluster_1844,1844,Unknown,Unknown,Manufacturing/Industrial Plant,8,9,369051.0,0.0,923.0,273.4,490.55,0,0.0,39242841.0,6,9,0,43.0
cluster_1712,1712,Unknown,Unknown,Manufacturing/Industrial Plant,8,9,340648.0,0.0,852.0,308.43,479.1,0,0.0,4327245.0,7,5,0,43.0
cluster_1329,1329,Unknown,Unknown,Manufacturing/Industrial Plant,6,7,794434.0,0.0,1986.0,297.3,444.17,0,0.0,23086547.0,3,6,0,42.0
cluster_1890,1890,Unknown,Unknown,Manufacturing/Industrial Plant,5,6,515233.0,0.0,1288.0,278.22,378.26,0,0.0,75966702.0,3,4,0,41.0
cluster_1985,1985,Unknown,Unknown,Manufacturing/Industrial Plant,6,7,379167.0,0.0,948.0,313.15,460.48,0,0.0,2868037.0,6,4,0,41.0
cluster_3586,3586,Unknown,Unknown,Manufacturing/Industrial Plant,8,9,393695.0,0.0,984.0,351.55,495.7,0,0.0,4638136.0,4,7,0,41.0
cluster_3633,3633,Unknown,Unknown,Manufacturing/Industrial Plant,6,7,412071.0,0.0,1030.0,312.2,468.85,0,0.0,6506944.0,5,4,0,41.0
cluster_4514,4514,Unknown,Unknown,Manufacturing/Industrial Plant,5,6,431189.0,0.0,1078.0,221.73,394.96,0,0.0,13040733.0,5,5,0,40.0
cluster_2029,2029,Unknown,Unknown,Manufacturing/Industrial Plant,5,6,427521.0,0.0,1069.0,304.25,476.12,0,0.0,2343617.0,5,3,0,40.0
cluster_1459,1459,Unknown,Unknown,Manufacturing/Industrial Plant,3,4,625375.0,0.0,1563.0,231.09,411.56,0,0.0,198707261.0,3,3,0,39.0
cluster_2071,2071,Unknown,Unknown,Manufacturing/Industrial Plant,3,4,565353.0,0.0,1413.0,317.24,448.19,0,0.0,21684395.0,3,3,0,39.0
cluster_6455,6455,Unknown,Unknown,Manufacturing/Industrial Plant,6,7,345215.0,0.0,863.0,166.05,387.86,0,0.0,16417879.0,4,7,0,39.0
cluster_3804,3804,Unknown,Unknown,Manufacturing/Industrial Plant,5,6,703512.0,0.0,1759.0,321.17,478.78,0,0.0,6766387.0,2,5,0,39.0
cluster_2257,2257,Unknown,Unknown,Manufacturing/Industrial Plant,4,5,341538.0,0.0,854.0,309.24,477.39,0,0.0,8037739.0,4,3,0,37.0
cluster_1704,1704,Unknown,Unknown,Manufacturing/Industrial Plant,4,5,286745.0,0.0,717.0,321.27,434.89,0,0.0,3802344.0,4,5,0,37.0
cluster_1539,1539,Unknown,Unknown,Manufacturing/Industrial Plant,5,6,380190.0,0.0,950.0,204.83,447.26,0,0.0,9156802.0,3,2,0,36.0
cluster_2105,2105,Unknown,Unknown,Manufacturing/Industrial Plant,4,5,323730.0,0.0,809.0,354.43,481.55,0,0.0,25454360.0,3,2,0,35.0
cluster_2082,2082,Unknown,Unknown,Manufacturing/Industrial Plant,6,7,406542.0,0.0,1016.0,307.52,480.78,0,0.0,917676.0,4,3,0,34.0
cluster_1178,1178,Unknown,Unknown,Manufacturing/Industrial Plant,4,5,539108.0,0.0,1348.0,140.8,206.99,0,0.0,549617.0,2,2,0,33.0
cluster_3851,3851,Unknown,Unknown,Manufacturing/Industrial Plant,4,5,315582.0,0.0,789.0,305.86,421.41,0,0.0,328320.0,5,1,0,29.0
cluster_3819,3819,Unknown,Unknown,Manufacturing/Industrial Plant,3,4,150500.0,0.0,376.0,312.35,395.53,0,0.0,72846.0,3,2,0,9.0
