building_id,building_name,property_type,sqft,current_eui,reduction_needed_pct,recommended_opt_in,penalties_if_default,penalties_if_optin,npv_benefit_of_optin,primary_rationale,analysis_timestamp
5867,st. francis apartments at cathedral square,Multifamily Housing,37586.0,42.7,-3.5,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
5868,601 broadway (administration),Office,268659.0,36.9,-43.9,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
5869,mariposa phase vii,Multifamily Housing,46121.0,34.2,-29.2,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
5871,st paul collection-210,Multifamily Housing,154193.0,56.8,-7.4,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
5872,denver co tj,Hotel,130445.0,136.7,55.3,True,3567019.0,4536355.0,-254323.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
5873,civica (brightly),Office,126250.0,54.0,-23.5,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
5874,moxy cherry creek,Hotel,64347.0,85.1,28.2,False,294388.0,710391.0,-272133.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
5875,gables residences at cherry creek,Multifamily Housing,201889.0,56.3,14.4,True,536015.0,752238.0,-91826.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
5876,the henry (co),Multifamily Housing,341493.0,58.2,24.1,True,1849185.0,2199215.0,-15725.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
5877,westwood crossing lllp,Multifamily Housing,132205.0,33.8,-30.8,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
5879,del corazon (dl032),Multifamily Housing,147475.0,59.3,25.5,True,730001.0,1024361.0,-124971.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
5880,sanderson apartment,Multifamily Housing,49146.0,36.4,-33.5,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
5881,muse,Multifamily Housing,103500.0,45.7,-13.6,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
5882,705 evans,Multifamily Housing,37084.0,42.9,-3.0,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
5883,ash street (sh345),Multifamily Housing,138915.0,46.6,1.1,True,31256.0,31950.0,3699.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
5886,u-haul storage at south havana (862050 ),Self-Storage Facility,42416.0,43.0,82.1,True,446640.0,688751.0,-123585.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
5888,jp - yale street station,Multifamily Housing,157565.0,38.3,-15.4,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
5889,29239-denver/tamarac pkwy & i225,Self-Storage Facility,226340.0,5.8,-32.8,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
5890,7575 town center,Multifamily Housing,665988.0,40.2,-10.0,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
5891,maa river north,Multifamily Housing,357131.0,52.5,6.9,True,396415.0,591409.0,-94783.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
5892,sylvan uptown,Multifamily Housing,127525.0,41.3,-17.7,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
5893,outlook dtc,Multifamily Housing,209207.0,36.9,-19.8,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
5894,north colorado station,Multifamily Housing,79344.0,66.9,33.9,False,270166.0,828510.0,-377110.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
5901,gourmet foods international,Refrigerated Warehouse,56000.0,96.5,33.8,True,657720.0,839776.0,-49404.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
